Rinoctes nasutus	3
Narcetes erimelas	16
Narcetes stomias	26
Leptoderma retropinna	18
Leptoderma macrophthalmum	16
Leptoderma lubricum	16
Conocara murrayi	20
Conocara macropterum	16
Conocara kreffti	6
Conocara sp.	1
Conocara nigrum	2
Bathytroctes microlepis	22
Bathytroctes michaelsarsi	16
Bathytroctes macrolepis	16
Bathytroctes breviceps	16
Bathyprion danae	16
Alepocephalus umbriceps	16
Alepocephalus productus	17
Alepocephalus longiceps	10
Alepocephalus bicolor	54
Alepocephalus bairdii	22
Alepocephalus australis	24
Alepocephalus agassizii	27
Herwigia kreffti	16
Bathylaco nigricans	5
Bajacalifornia megalops	29
Talismania filamentosa	1
Xenodermichthys nodulosus	10
Photostylus sp.	1
Lamna ditropis	54
Alopias vulpinus	115
Isurus oxyrinchus	567
Alopias pelagicus	397
Alopias superciliosus	291
Carcharodon carcharias	389
Cetorhinus maximus	184
Lamna nasus	280
Isurus paucus	123
Amarsipus carlsbergi	5
Pseudambassis lala	76
Ambassis buruensis	6
Ambassis urotaenia	22
Ambassidae sp.	1
Parambassis ranga	232
Ambassis macleayi	2
Ambassis gymnocephalus	76
Ambassis interrupta	66
Ambassis marianus	21
Parambassis dayi	25
Chanda nama	188
Ambassis sp.	104
Parambassis sp.	2
Ambassis vachellii	43
Ambassis agassizii	43
Ambassis miops	19
Gymnochanda filamentosa	3
Ambassis muelleri	5
Ambassis jacksoniensis	6
Ambassis productus	2
Parambassis wolffii	8
Chanda sp.	2
Ammodytes hexapterus	228
Ammodytes japonicus	715
Ammodytes personatus	352
Ammodytes dubius	54
Hyperoplus lanceolatus	62
Gymnammodytes semisquamatus	5
Ammodytes tobianus	28
Ammodytes marinus	106
Hyperoplus immaculatus	22
Gymnammodytes sp.	4
Ammodytes americanus	27
Ammodytes sp.	1
Oxyzygonectes dovii	7
Jenynsia lineata	203
Anableps anableps	6
Jenynsia maculata	2
Sinobatis borneensis	5
Anarhichas orientalis	9
Anarrhichthys ocellatus	44
Anarhichas denticulatus	28
Anarhichas lupus	194
Anarhichas minor	23
Anguilla bengalensis	133
Anguilla mossambica	48
Anguilla rostrata	487
Anguilla anguilla	651
Anguilla japonica	493
Anguilla marmorata	903
Anguilla bicolor	1371
Anguilla nebulosa	161
Anguilla megastoma	32
Anguilla australis	99
Anguilla reinhardtii	41
Anguilla dieffenbachii	18
Anguilla obscura	31
Anguilla celebesensis	94
Anguilla malgumora	45
Anguilla interioris	114
Anguilla labiata	4
Photoblepharon palpebratum	1
Anomalops katoptron	26
Phthanophaneron harveyi	1
Anomalops sp.	1
Anoplopoma fimbria	235
Erilepis zonifer	99
Abantennarius sanguineus	6
Antennarius striatus	116
Fowlerichthys radiosus	21
Fowlerichthys ocellatus	4
Rhycherus filamentosus	15
Histrio histrio	98
Abantennarius rosaceus	5
Abantennarius dorehensis	1
Antennarius biocellatus	1
Fowlerichthys avalonis	7
Fowlerichthys scriptissimus	6
Abantennarius coccineus	68
Antennarius sp.	11
Abantennarius nummifer	16
Antennatus tuberosus	10
Antennarius commerson	12
Antennarius pictus	10
Antennarius hispidus	14
Antennatus analis	1
Aphanius dispar	51
Aphaniops stoliczkanus	53
Paraphanius mento	25
Aphaniops ginaonis	7
Aphaniops furcatus	10
Esmaeilius isfahanensis	6
Esmaeilius vladykovi	9
Esmaeilius persicus	7
Esmaeilius sophiae	14
Aphaniops richardsoni	9
Aphaniops sirhani	6
Aphanius apodus	4
Apricaphanius iberus	22
Aphanius fasciatus	194
Aphanius asquamatus	9
Anatolichthys villwocki	17
Anatolichthys danfordii	14
Anatolichthys anatoliae	40
Aphanius transgrediens	13
Anatolichthys sureyanus	5
Anatolichthys splendens	2
Neoaploactis tridorsalis	1
Paraploactis kagoshimensis	6
Cocotropus aurantius	2
Cocotropus izuensis	1
Erisphex pottii	61
Aploactis aspera	3
Aplodactylus arctidens	11
Apogon retrosella	6
Taeniamia macroptera	5
Apogon cathetogrammus	35
Ostorhinchus fasciatus	170
Ostorhinchus doederleini	188
Ostorhinchus fleurieu	64
Taeniamia ataenia	1
Taeniamia kagoshimana	6
Ostorhinchus cookii	107
Apogonichthyoides sialis	3
Apogon kominatoensis	1
Pristiapogon exostigma	69
Cheilodipterus novemstriatus	19
Cheilodipterus macrodon	75
Cheilodipterus quinquelineatus	465
Zoramia leptacanthus	15
Ostorhinchus kiensis	16
Jaydia lineata	58
Ostorhinchus margaritophorus	8
Fibramia amboinensis	13
Jaydia truncata	83
Coranthus polyacanthus	6
Apogonichthyoides nigripinnis	14
Verulux cypselurus	26
Ostorhinchus aureus	62
Fowleria vaiulae	62
Apogon pacificus	7
Apogon guadalupensis	5
Pristiapogon kallopterus	158
Nectamia savayensis	78
Nectamia viria	27
Pristicon trimaculatus	49
Ostorhinchus nigrofasciatus	91
Apogon deetsie	6
Ostorhinchus cyanosoma	50
Ostorhinchus multilineatus	6
Ostorhinchus moluccensis	7
Ostorhinchus monospilus	9
Sphaeramia orbicularis	69
Ostorhinchus compressus	28
Apogon doryssa	29
